Country,Protein_Supply,Male_Height,Female_Height,GDP_Per_Capita
Malaysia,93.33733,167.8849165,156.29668,30459.965
Maldives,101.6967,167.6836237,155.0193566,21072.58
Mali,72.75733,171.1194632,160.4650957,2862.4072
Malta,101.41913,173.3197324,160.8546419,50826.293
Marshall Islands,118.32116,162.8089916,151.3064655,5635.3076
Mauritania,84.45244,163.2810601,157.7219137,6153.6377
Mauritius,101.68609,170.4992686,157.2444285,25324.178
Mexico,100.17869,169.0114702,156.8488218,21997.773
Micronesia (country),75.51816,168.510704,156.0856618,3798.592
Moldova,77.115295,175.489202,163.2428841,13895.504
Mongolia,135.874,169.0656778,158.2170522,15230.241
Montenegro,131.21109,178.2755341,164.8559181,22419.482
Morocco,98.29826,170.4001635,157.8216326,8611.75
Mozambique,44.34133,164.7975642,153.9601295,1538.8351
Myanmar,79.47983,164.6726735,154.371918,6201.263
Namibia,60.309456,166.9643668,158.7785447,11214.386
Nauru,113.23907,167.8324823,153.9823756,10401.28
Nepal,84.04959,162.3183332,150.860985,4371.3857
Netherlands,115.26601,182.5353792,168.7185794,66758.266
New Zealand,106.54047,177.7363938,164.9405475,46947.938
Nicaragua,75.81569,166.7062391,154.3935365,7049.0273
Niger,91.59134,167.6760035,158.2530879,1574.3384
Nigeria,57.516796,165.9067896,156.3214927,8362.623
North America,109.6672,175.9695,162.7127,
North Macedonia,105.474335,178.330803,159.7820937,19796.906
Norway,126.92504,179.7451045,165.5649024,87338.47
Oman,85.68779,169.1575236,157.1877249,38673.605
Pakistan,67.844215,166.9481799,153.8444325,5255.0635
Panama,94.81787,168.4895764,155.4710802,32681.447
Papua New Guinea,62.874603,163.5678363,154.8715667,4211.1455
Paraguay,73.95118,172.834287,159.8557734,15592.984
Peru,89.53985,165.2324719,152.9325228,15386.26
Philippines,77.87464,163.2291559,149.6078284,9016.286
Poland,120.0416,177.3269817,164.58574,36500.41
Portugal,119.952385,172.9328818,163.0445808,39123.613
Qatar,110.405716,170.476481,159.3818927,114909.79
Romania,111.38023,174.740883,162.7251114,33139.85
Russia,116.85027,176.4605305,165.2704945,36536.695
